[2022-09-05 08:38:27] [info]  [ 4516] Commons Daemon procrun (1.1.0.0 64-bit) started
[2022-09-05 08:38:28] [info]  [ 4516] Running 'HIKCMS' Service...
[2022-09-05 08:38:28] [info]  [ 6636] Starting service...
[2022-09-05 08:38:29] [info]  [ 6636] Service started in 15 ms.
[2022-09-05 09:52:34] [info]  [12464] Console SHUTDOWN event signaled
[2022-09-05 09:52:34] [info]  [12464] Stopping service...
[2022-09-05 09:52:39] [info]  [12464] Service stop thread completed.
[2022-09-05 09:52:39] [info]  [ 4516] Run service finished.
[2022-09-05 09:52:39] [info]  [ 4516] Commons Daemon procrun finished
[2022-09-05 09:53:29] [info]  [ 4920] Commons Daemon procrun (1.1.0.0 64-bit) started
[2022-09-05 09:53:29] [info]  [ 4920] Running 'HIKCMS' Service...
[2022-09-05 09:53:29] [info]  [ 7120] Starting service...
[2022-09-05 09:53:30] [info]  [ 7120] Service started in 15 ms.
[2022-09-05 10:28:59] [info]  [12060] Console SHUTDOWN event signaled
[2022-09-05 10:28:59] [info]  [12060] Stopping service...
[2022-09-05 10:29:04] [info]  [12060] Service stop thread completed.
[2022-09-05 10:29:04] [info]  [ 4920] Run service finished.
[2022-09-05 10:29:04] [info]  [ 4920] Commons Daemon procrun finished
[2022-09-05 10:29:54] [info]  [ 5028] Commons Daemon procrun (1.1.0.0 64-bit) started
[2022-09-05 10:29:55] [info]  [ 5028] Running 'HIKCMS' Service...
[2022-09-05 10:29:55] [info]  [ 5612] Starting service...
[2022-09-05 10:29:55] [info]  [ 5612] Service started in 62 ms.
[2022-09-05 19:46:53] [info]  [ 5028] Run service finished.
[2022-09-05 19:46:53] [info]  [ 5028] Commons Daemon procrun finished
