[2022-11-07 15:56:06] [info]  [ 5060] Commons Daemon procrun (1.1.0.0 64-bit) started
[2022-11-07 15:56:07] [info]  [ 5060] Running 'HIKCMS' Service...
[2022-11-07 15:56:07] [info]  [ 6776] Starting service...
[2022-11-07 15:56:07] [info]  [ 6776] Service started in 0 ms.
[2022-11-07 16:02:26] [info]  [ 4552] Commons Daemon procrun (1.1.0.0 64-bit) started
[2022-11-07 16:02:26] [info]  [ 4552] Running 'HIKCMS' Service...
[2022-11-07 16:02:27] [info]  [ 6944] Starting service...
[2022-11-07 16:02:27] [info]  [ 6944] Service started in 15 ms.
[2022-11-07 16:30:54] [info]  [ 4552] Run service finished.
[2022-11-07 16:30:54] [info]  [ 4552] Commons Daemon procrun finished
[2022-11-07 16:44:52] [info]  [ 4708] Commons Daemon procrun (1.1.0.0 64-bit) started
[2022-11-07 16:44:52] [info]  [ 4708] Running 'HIKCMS' Service...
[2022-11-07 16:44:52] [info]  [ 6556] Starting service...
[2022-11-07 16:44:53] [info]  [ 6556] Service started in 15 ms.
[2022-11-07 17:09:41] [info]  [ 4708] Run service finished.
[2022-11-07 17:09:41] [info]  [ 4708] Commons Daemon procrun finished
