[2022-09-13 12:04:54] [info]  [ 4788] Commons Daemon procrun (1.1.0.0 64-bit) started
[2022-09-13 12:04:55] [info]  [ 4788] Running 'HIKCMS' Service...
[2022-09-13 12:04:55] [info]  [ 7096] Starting service...
[2022-09-13 12:04:56] [info]  [ 7096] Service started in 0 ms.
[2022-09-13 12:50:22] [info]  [13256] Console SHUTDOWN event signaled
[2022-09-13 12:50:22] [info]  [13256] Stopping service...
[2022-09-13 12:50:27] [info]  [13256] Service stop thread completed.
[2022-09-13 12:50:27] [info]  [ 4788] Run service finished.
[2022-09-13 12:50:27] [info]  [ 4788] Commons Daemon procrun finished
[2022-09-13 12:51:17] [info]  [ 4960] Commons Daemon procrun (1.1.0.0 64-bit) started
[2022-09-13 12:51:17] [info]  [ 4960] Running 'HIKCMS' Service...
[2022-09-13 12:51:17] [info]  [ 6708] Starting service...
[2022-09-13 12:51:18] [info]  [ 6708] Service started in 0 ms.
[2022-09-13 17:31:37] [info]  [ 4960] Run service finished.
[2022-09-13 17:31:37] [info]  [ 4960] Commons Daemon procrun finished
