[2022-03-31 09:23:54] [info]  [ 3948] Commons Daemon procrun (1.1.0.0 64-bit) started
[2022-03-31 09:23:55] [info]  [ 3948] Running 'HIKCMS' Service...
[2022-03-31 09:23:55] [info]  [ 5648] Starting service...
[2022-03-31 09:23:56] [info]  [ 5648] Service started in 15 ms.
[2022-03-31 09:24:55] [info]  [13644] Stopping service...
[2022-03-31 09:25:01] [info]  [13644] Service stop thread completed.
[2022-03-31 09:25:01] [info]  [ 3948] Run service finished.
[2022-03-31 09:25:01] [info]  [ 3948] Commons Daemon procrun finished
[2022-03-31 09:25:29] [info]  [ 6080] Commons Daemon procrun (1.1.0.0 64-bit) started
[2022-03-31 09:25:29] [info]  [ 6080] Running 'HIKCMS' Service...
[2022-03-31 09:25:29] [info]  [ 7992] Starting service...
[2022-03-31 09:25:29] [info]  [ 7992] Service started in 4 ms.
